AVG_PURCHASE_VALUE_EUR,PURCHASE_COUNT,CLUSTER
28.336,5.0,0
24.288,2.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
28.336,3.0,0
12.144,2.0,3
38.456,11.0,0
18.216,4.0,0
26.312,1.0,0
0.0,0.0,3
0.0,0.0,3
33.396,6.0,0
22.264,17.0,1
18.216,4.0,0
43.516,1.0,2
33.396,21.0,1
0.0,0.0,3
51.612,2.0,2
0.0,0.0,3
54.648,3.0,2
0.0,0.0,3
50.6,3.0,2
9.108,1.0,3
47.564,1.0,2
12.144,1.0,3
40.48,1.0,2
0.0,0.0,3
16.192,1.0,0
32.384,4.0,0
10.12,1.0,3
0.0,0.0,3
44.528,31.0,1
17.204,5.0,0
0.0,0.0,3
24.288,3.0,0
28.336,26.0,1
0.0,0.0,3
81.972,9.0,2
39.468,2.0,0
30.36,10.0,0
38.456,3.0,0
0.0,0.0,3
66.792,4.0,2
9.108,4.0,3
12.144,1.0,3
21.252,4.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
21.252,1.0,0
27.324,17.0,1
24.288,2.0,0
0.0,0.0,3
50.6,2.0,2
27.324,1.0,0
34.408,16.0,1
29.348,7.0,0
0.0,0.0,3
23.276,1.0,0
28.336,4.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
28.336,3.0,0
19.228,34.0,1
0.0,0.0,3
36.432,1.0,0
0.0,0.0,3
0.0,0.0,3
45.54,2.0,2
20.24,39.0,1
18.216,1.0,0
0.0,0.0,3
32.384,18.0,1
48.576,1.0,2
0.0,0.0,3
31.372,1.0,0
0.0,0.0,3
23.276,1.0,0
29.348,25.0,1
0.0,0.0,3
76.912,1.0,2
44.528,5.0,2
0.0,0.0,3
19.228,1.0,0
28.336,3.0,0
86.02,3.0,2
69.828,1.0,2
0.0,0.0,3
14.168,2.0,0
0.0,0.0,3
10.12,10.0,0
56.672,7.0,2
18.216,1.0,0
25.3,2.0,0
0.0,0.0,3
10.12,2.0,3
28.336,2.0,0
31.372,11.0,0
48.576,15.0,1
40.48,14.0,1
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
32.384,1.0,0
25.3,3.0,0
52.624,15.0,1
0.0,0.0,3
0.0,0.0,3
39.468,1.0,0
16.192,3.0,0
8.096,1.0,3
36.432,1.0,0
0.0,0.0,3
16.192,20.0,1
30.36,1.0,0
28.336,1.0,0
31.372,1.0,0
24.288,2.0,0
54.648,7.0,2
18.216,1.0,0
24.288,1.0,0
23.276,26.0,1
26.312,7.0,0
15.18,4.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
36.432,3.0,0
20.24,1.0,0
21.252,29.0,1
36.432,4.0,0
24.288,1.0,0
0.0,0.0,3
6.072,1.0,3
14.168,7.0,0
0.0,0.0,3
20.24,1.0,0
6.072,1.0,3
0.0,0.0,3
37.444,14.0,1
20.24,2.0,0
19.228,1.0,0
46.552,1.0,2
29.348,4.0,0
63.756,1.0,2
27.324,4.0,0
0.0,0.0,3
79.948,2.0,2
38.456,7.0,0
72.864,6.0,2
0.0,0.0,3
0.0,0.0,3
38.456,2.0,0
16.192,4.0,0
0.0,0.0,3
10.12,2.0,3
28.336,10.0,0
51.612,3.0,2
38.456,7.0,0
21.252,10.0,0
47.564,12.0,2
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
32.384,9.0,0
33.396,1.0,0
25.3,38.0,1
45.54,3.0,2
37.444,2.0,0
24.288,3.0,0
40.48,2.0,0
0.0,0.0,3
0.0,0.0,3
42.504,10.0,0
16.192,1.0,0
44.528,1.0,2
81.972,1.0,2
0.0,0.0,3
34.408,2.0,0
0.0,0.0,3
31.372,4.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
33.396,2.0,0
33.396,1.0,0
17.204,1.0,0
0.0,0.0,3
16.192,1.0,0
0.0,0.0,3
0.0,0.0,3
25.3,9.0,0
0.0,0.0,3
0.0,0.0,3
36.432,5.0,0
0.0,0.0,3
39.468,1.0,0
38.456,3.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
39.468,14.0,1
7.084,1.0,3
0.0,0.0,3
34.408,1.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
19.228,1.0,0
0.0,0.0,3
6.072,1.0,3
0.0,0.0,3
18.216,10.0,0
23.276,2.0,0
65.78,3.0,2
0.0,0.0,3
44.528,2.0,2
24.288,2.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
35.42,3.0,0
35.42,4.0,0
0.0,0.0,3
31.372,1.0,0
0.0,0.0,3
0.0,0.0,3
31.372,2.0,0
7.084,1.0,3
0.0,0.0,3
29.348,7.0,0
30.36,5.0,0
0.0,0.0,3
0.0,0.0,3
73.876,9.0,2
0.0,0.0,3
24.288,23.0,1
20.24,5.0,0
40.48,2.0,0
18.216,1.0,0
0.0,0.0,3
17.204,13.0,1
0.0,0.0,3
39.468,2.0,0
43.516,3.0,2
0.0,0.0,3
45.54,1.0,2
16.192,2.0,0
45.54,1.0,2
0.0,0.0,3
55.66,3.0,2
58.696,1.0,2
25.3,3.0,0
0.0,0.0,3
0.0,0.0,3
58.696,5.0,2
0.0,0.0,3
35.42,1.0,0
14.168,1.0,3
33.396,3.0,0
22.264,3.0,0
22.264,1.0,0
41.492,2.0,2
44.528,1.0,2
24.288,4.0,0
39.468,5.0,0
15.18,2.0,0
0.0,0.0,3
27.324,19.0,1
0.0,0.0,3
24.288,1.0,0
32.384,1.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
39.468,6.0,0
0.0,0.0,3
29.348,1.0,0
20.24,4.0,0
11.132,10.0,0
32.384,1.0,0
0.0,0.0,3
27.324,1.0,0
23.276,7.0,0
30.36,3.0,0
19.228,1.0,0
38.456,1.0,0
19.228,6.0,0
41.492,5.0,0
35.42,1.0,0
0.0,0.0,3
59.708,1.0,2
42.504,3.0,2
26.312,7.0,0
25.3,1.0,0
0.0,0.0,3
0.0,0.0,3
42.504,1.0,2
50.6,3.0,2
29.348,22.0,1
25.3,2.0,0
22.264,28.0,1
14.168,1.0,3
31.372,1.0,0
23.276,2.0,0
24.288,1.0,0
22.264,2.0,0
57.684,4.0,2
33.396,5.0,0
55.66,12.0,2
32.384,1.0,0
0.0,0.0,3
35.42,6.0,0
0.0,0.0,3
24.288,1.0,0
19.228,1.0,0
0.0,0.0,3
47.564,2.0,2
0.0,0.0,3
19.228,21.0,1
21.252,19.0,1
52.624,4.0,2
0.0,0.0,3
27.324,1.0,0
0.0,0.0,3
53.636,5.0,2
0.0,0.0,3
24.288,3.0,0
38.456,1.0,0
31.372,2.0,0
74.888,5.0,2
0.0,0.0,3
27.324,7.0,0
60.72,11.0,2
28.336,6.0,0
20.24,1.0,0
46.552,1.0,2
21.252,15.0,1
0.0,0.0,3
0.0,0.0,3
32.384,4.0,0
0.0,0.0,3
40.48,8.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
31.372,3.0,0
27.324,1.0,0
13.156,1.0,3
12.144,1.0,3
17.204,1.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
42.504,5.0,2
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
42.504,4.0,2
29.348,1.0,0
0.0,0.0,3
35.42,2.0,0
33.396,1.0,0
54.648,1.0,2
38.456,4.0,0
35.42,27.0,1
0.0,0.0,3
14.168,1.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
30.36,11.0,0
0.0,0.0,3
26.312,20.0,1
23.276,2.0,0
48.576,1.0,2
32.384,1.0,0
19.228,6.0,0
0.0,0.0,3
0.0,0.0,3
33.396,14.0,1
26.312,17.0,1
40.48,1.0,2
22.264,2.0,0
43.516,1.0,2
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
20.24,15.0,1
46.552,5.0,2
95.128,1.0,2
29.348,1.0,0
40.48,6.0,0
25.3,3.0,0
38.456,6.0,0
13.156,3.0,0
27.324,23.0,1
0.0,0.0,3
26.312,8.0,0
0.0,0.0,3
26.312,5.0,0
0.0,0.0,3
0.0,0.0,3
10.12,1.0,3
0.0,0.0,3
0.0,0.0,3
27.324,3.0,0
29.348,3.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
24.288,2.0,0
29.348,2.0,0
0.0,0.0,3
57.684,1.0,2
77.924,1.0,2
0.0,0.0,3
55.66,1.0,2
0.0,0.0,3
53.636,4.0,2
27.324,3.0,0
33.396,2.0,0
36.432,4.0,0
93.104,2.0,2
30.36,9.0,0
54.648,2.0,2
12.144,1.0,3
0.0,0.0,3
12.144,1.0,3
0.0,0.0,3
23.276,12.0,0
20.24,4.0,0
19.228,7.0,0
0.0,0.0,3
48.576,3.0,2
6.072,2.0,3
23.276,7.0,0
27.324,2.0,0
38.456,5.0,0
54.648,1.0,2
0.0,0.0,3
94.116,1.0,2
29.348,3.0,0
31.372,4.0,0
45.54,1.0,2
34.408,3.0,0
40.48,1.0,2
33.396,1.0,0
17.204,3.0,0
30.36,11.0,0
32.384,1.0,0
9.108,1.0,3
17.204,1.0,0
43.516,4.0,2
23.276,6.0,0
66.792,1.0,2
0.0,0.0,3
29.348,11.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
43.516,4.0,2
39.468,8.0,0
26.312,1.0,0
22.264,1.0,0
14.168,1.0,3
23.276,2.0,0
40.48,3.0,0
39.468,4.0,0
0.0,0.0,3
33.396,1.0,0
68.816,11.0,2
20.24,2.0,0
33.396,3.0,0
21.252,11.0,0
21.252,2.0,0
0.0,0.0,3
87.032,1.0,2
23.276,1.0,0
0.0,0.0,3
21.252,8.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
23.276,4.0,0
22.264,2.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
48.576,1.0,2
33.396,9.0,0
0.0,0.0,3
22.264,7.0,0
33.396,1.0,0
0.0,0.0,3
0.0,0.0,3
16.192,4.0,0
47.564,1.0,2
46.552,4.0,2
30.36,2.0,0
36.432,13.0,1
0.0,0.0,3
33.396,4.0,0
0.0,0.0,3
0.0,0.0,3
39.468,2.0,0
29.348,1.0,0
0.0,0.0,3
0.0,0.0,3
25.3,2.0,0
25.3,40.0,1
39.468,27.0,1
37.444,1.0,0
47.564,3.0,2
31.372,16.0,1
34.408,12.0,0
44.528,5.0,2
41.492,1.0,2
39.468,1.0,0
14.168,2.0,0
16.192,4.0,0
11.132,19.0,1
0.0,0.0,3
0.0,0.0,3
30.36,7.0,0
41.492,1.0,2
0.0,0.0,3
0.0,0.0,3
19.228,12.0,0
43.516,13.0,1
39.468,9.0,0
21.252,38.0,1
33.396,4.0,0
24.288,6.0,0
27.324,1.0,0
20.24,20.0,1
20.24,1.0,0
18.216,8.0,0
13.156,18.0,1
0.0,0.0,3
0.0,0.0,3
39.468,1.0,0
27.324,3.0,0
35.42,8.0,0
41.492,1.0,2
43.516,4.0,2
23.276,9.0,0
27.324,1.0,0
20.24,3.0,0
6.072,1.0,3
0.0,0.0,3
50.6,1.0,2
0.0,0.0,3
0.0,0.0,3
54.648,8.0,2
43.516,16.0,1
22.264,3.0,0
0.0,0.0,3
16.192,5.0,0
20.24,2.0,0
32.384,1.0,0
42.504,11.0,0
20.24,1.0,0
0.0,0.0,3
0.0,0.0,3
40.48,28.0,1
37.444,2.0,0
17.204,2.0,0
37.444,1.0,0
37.444,1.0,0
90.068,3.0,2
44.528,11.0,2
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
34.408,17.0,1
36.432,5.0,0
22.264,22.0,1
26.312,15.0,1
0.0,0.0,3
0.0,0.0,3
32.384,2.0,0
0.0,0.0,3
23.276,1.0,0
0.0,0.0,3
29.348,1.0,0
28.336,2.0,0
25.3,31.0,1
22.264,3.0,0
0.0,0.0,3
0.0,0.0,3
36.432,19.0,1
0.0,0.0,3
33.396,1.0,0
33.396,4.0,0
7.084,4.0,3
14.168,1.0,3
0.0,0.0,3
0.0,0.0,3
29.348,2.0,0
33.396,3.0,0
23.276,3.0,0
16.192,2.0,0
14.168,1.0,3
0.0,0.0,3
0.0,0.0,3
24.288,3.0,0
31.372,4.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
20.24,1.0,0
21.252,3.0,0
19.228,1.0,0
25.3,9.0,0
29.348,2.0,0
37.444,6.0,0
0.0,0.0,3
46.552,1.0,2
15.18,3.0,0
22.264,2.0,0
35.42,1.0,0
14.168,1.0,3
28.336,10.0,0
0.0,0.0,3
26.312,1.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
33.396,2.0,0
0.0,0.0,3
21.252,39.0,1
0.0,0.0,3
11.132,4.0,0
9.108,1.0,3
9.108,1.0,3
27.324,8.0,0
20.24,7.0,0
34.408,1.0,0
22.264,3.0,0
0.0,0.0,3
11.132,1.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
47.564,8.0,2
0.0,0.0,3
0.0,0.0,3
14.168,2.0,0
0.0,0.0,3
66.792,34.0,1
45.54,1.0,2
27.324,2.0,0
6.072,2.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
38.456,14.0,1
0.0,0.0,3
0.0,0.0,3
15.18,1.0,0
30.36,2.0,0
10.12,4.0,0
29.348,1.0,0
19.228,3.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
31.372,8.0,0
13.156,7.0,0
34.408,1.0,0
29.348,8.0,0
0.0,0.0,3
19.228,22.0,1
0.0,0.0,3
53.636,1.0,2
0.0,0.0,3
0.0,0.0,3
27.324,1.0,0
0.0,0.0,3
0.0,0.0,3
34.408,3.0,0
39.468,4.0,0
8.096,2.0,3
25.3,1.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
44.528,2.0,2
0.0,0.0,3
7.084,3.0,3
0.0,0.0,3
7.084,1.0,3
9.108,2.0,3
0.0,0.0,3
0.0,0.0,3
28.336,1.0,0
15.18,1.0,0
19.228,32.0,1
0.0,0.0,3
32.384,3.0,0
0.0,0.0,3
16.192,6.0,0
0.0,0.0,3
10.12,3.0,3
0.0,0.0,3
34.408,3.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
19.228,1.0,0
6.072,1.0,3
0.0,0.0,3
0.0,0.0,3
35.42,1.0,0
0.0,0.0,3
30.36,8.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
25.3,4.0,0
7.084,1.0,3
0.0,0.0,3
31.372,1.0,0
42.504,2.0,2
7.084,3.0,3
0.0,0.0,3
28.336,19.0,1
12.144,4.0,0
45.54,1.0,2
28.336,11.0,0
16.192,2.0,0
0.0,0.0,3
24.288,2.0,0
12.144,3.0,0
0.0,0.0,3
0.0,0.0,3
24.288,1.0,0
0.0,0.0,3
32.384,1.0,0
50.6,1.0,2
0.0,0.0,3
25.3,2.0,0
0.0,0.0,3
63.756,30.0,1
0.0,0.0,3
14.168,5.0,0
9.108,1.0,3
24.288,1.0,0
0.0,0.0,3
34.408,1.0,0
11.132,10.0,0
21.252,2.0,0
16.192,13.0,1
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
41.492,7.0,0
38.456,2.0,0
0.0,0.0,3
22.264,4.0,0
37.444,3.0,0
22.264,10.0,0
19.228,2.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
20.24,2.0,0
16.192,2.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
15.18,2.0,0
15.18,2.0,0
104.236,3.0,2
126.5,3.0,2
31.372,1.0,0
0.0,0.0,3
29.348,1.0,0
0.0,0.0,3
31.372,2.0,0
25.3,12.0,0
33.396,9.0,0
0.0,0.0,3
0.0,0.0,3
30.36,5.0,0
0.0,0.0,3
16.192,1.0,0
60.72,14.0,2
40.48,1.0,2
0.0,0.0,3
23.276,1.0,0
0.0,0.0,3
3.036,2.0,3
0.0,0.0,3
0.0,0.0,3
8.096,2.0,3
11.132,3.0,3
32.384,32.0,1
20.24,10.0,0
0.0,0.0,3
14.168,14.0,1
0.0,0.0,3
15.18,5.0,0
0.0,0.0,3
0.0,0.0,3
18.216,1.0,0
0.0,0.0,3
29.348,9.0,0
0.0,0.0,3
26.312,1.0,0
21.252,26.0,1
0.0,0.0,3
0.0,0.0,3
45.54,1.0,2
0.0,0.0,3
17.204,1.0,0
0.0,0.0,3
8.096,2.0,3
28.336,8.0,0
0.0,0.0,3
42.504,13.0,1
17.204,2.0,0
21.252,29.0,1
0.0,0.0,3
24.288,2.0,0
0.0,0.0,3
0.0,0.0,3
48.576,2.0,2
6.072,1.0,3
18.216,1.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
30.36,8.0,0
0.0,0.0,3
18.216,1.0,0
0.0,0.0,3
0.0,0.0,3
9.108,9.0,0
36.432,2.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
16.192,2.0,0
30.36,2.0,0
8.096,6.0,0
23.276,13.0,1
20.24,1.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
27.324,12.0,0
32.384,13.0,1
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
9.108,1.0,3
21.252,12.0,0
0.0,0.0,3
0.0,0.0,3
10.12,1.0,3
20.24,2.0,0
23.276,1.0,0
0.0,0.0,3
33.396,8.0,0
24.288,18.0,1
0.0,0.0,3
44.528,1.0,2
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
43.516,1.0,2
33.396,7.0,0
27.324,4.0,0
0.0,0.0,3
0.0,0.0,3
23.276,21.0,1
46.552,1.0,2
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
27.324,1.0,0
56.672,1.0,2
19.228,1.0,0
0.0,0.0,3
0.0,0.0,3
36.432,1.0,0
26.312,3.0,0
20.24,38.0,1
0.0,0.0,3
6.072,1.0,3
27.324,5.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
21.252,4.0,0
19.228,1.0,0
10.12,1.0,3
0.0,0.0,3
0.0,0.0,3
41.492,3.0,2
0.0,0.0,3
52.624,1.0,2
0.0,0.0,3
0.0,0.0,3
21.252,1.0,0
18.216,5.0,0
46.552,9.0,2
0.0,0.0,3
18.216,18.0,1
18.216,5.0,0
21.252,19.0,1
0.0,0.0,3
0.0,0.0,3
35.42,4.0,0
31.372,1.0,0
105.248,1.0,2
9.108,1.0,3
29.348,4.0,0
0.0,0.0,3
29.348,9.0,0
19.228,3.0,0
22.264,1.0,0
20.24,40.0,1
39.468,4.0,0
0.0,0.0,3
0.0,0.0,3
17.204,3.0,0
61.732,1.0,2
38.456,2.0,0
31.372,1.0,0
0.0,0.0,3
81.972,7.0,2
0.0,0.0,3
46.552,12.0,2
54.648,1.0,2
0.0,0.0,3
17.204,5.0,0
0.0,0.0,3
29.348,2.0,0
7.084,7.0,0
0.0,0.0,3
24.288,1.0,0
19.228,2.0,0
28.336,1.0,0
38.456,13.0,1
6.072,1.0,3
0.0,0.0,3
19.228,1.0,0
7.084,5.0,3
45.54,1.0,2
10.12,9.0,0
43.516,1.0,2
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
32.384,1.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
17.204,1.0,0
27.324,2.0,0
0.0,0.0,3
29.348,14.0,1
0.0,0.0,3
37.444,25.0,1
6.072,1.0,3
0.0,0.0,3
25.3,3.0,0
25.3,1.0,0
0.0,0.0,3
24.288,1.0,0
15.18,2.0,0
32.384,8.0,0
40.48,1.0,2
20.24,2.0,0
0.0,0.0,3
0.0,0.0,3
7.084,6.0,0
34.408,1.0,0
0.0,0.0,3
7.084,6.0,0
29.348,11.0,0
12.144,1.0,3
33.396,3.0,0
0.0,0.0,3
18.216,2.0,0
0.0,0.0,3
24.288,5.0,0
0.0,0.0,3
32.384,1.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
12.144,2.0,3
28.336,1.0,0
86.02,2.0,2
0.0,0.0,3
24.288,14.0,1
0.0,0.0,3
20.24,3.0,0
25.3,3.0,0
30.36,1.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
23.276,14.0,1
0.0,0.0,3
18.216,7.0,0
33.396,1.0,0
28.336,8.0,0
33.396,5.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
49.588,1.0,2
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
40.48,1.0,2
23.276,1.0,0
0.0,0.0,3
41.492,9.0,0
37.444,12.0,0
60.72,12.0,2
0.0,0.0,3
41.492,1.0,2
26.312,2.0,0
17.204,2.0,0
0.0,0.0,3
0.0,0.0,3
22.264,35.0,1
0.0,0.0,3
18.216,1.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
39.468,1.0,0
0.0,0.0,3
0.0,0.0,3
18.216,1.0,0
21.252,1.0,0
18.216,4.0,0
0.0,0.0,3
60.72,1.0,2
26.312,1.0,0
48.576,7.0,2
25.3,3.0,0
50.6,2.0,2
56.672,1.0,2
25.3,40.0,1
0.0,0.0,3
0.0,0.0,3
33.396,13.0,1
26.312,2.0,0
20.24,1.0,0
22.264,2.0,0
32.384,11.0,0
0.0,0.0,3
10.12,1.0,3
53.636,1.0,2
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
6.072,3.0,3
20.24,2.0,0
0.0,0.0,3
25.3,1.0,0
29.348,1.0,0
0.0,0.0,3
35.42,5.0,0
0.0,0.0,3
30.36,21.0,1
0.0,0.0,3
20.24,2.0,0
28.336,1.0,0
0.0,0.0,3
21.252,1.0,0
42.504,3.0,2
0.0,0.0,3
0.0,0.0,3
51.612,2.0,2
0.0,0.0,3
21.252,2.0,0
32.384,28.0,1
43.516,5.0,2
44.528,2.0,2
42.504,4.0,2
0.0,0.0,3
21.252,5.0,0
25.3,3.0,0
0.0,0.0,3
0.0,0.0,3
16.192,1.0,0
0.0,0.0,3
0.0,0.0,3
13.156,4.0,0
0.0,0.0,3
0.0,0.0,3
11.132,1.0,3
41.492,1.0,2
0.0,0.0,3
24.288,4.0,0
20.24,1.0,0
24.288,3.0,0
21.252,2.0,0
0.0,0.0,3
49.588,2.0,2
0.0,0.0,3
18.216,1.0,0
0.0,0.0,3
44.528,5.0,2
0.0,0.0,3
27.324,1.0,0
23.276,9.0,0
35.42,4.0,0
0.0,0.0,3
15.18,1.0,0
6.072,1.0,3
0.0,0.0,3
24.288,30.0,1
0.0,0.0,3
0.0,0.0,3
36.432,2.0,0
22.264,2.0,0
29.348,1.0,0
0.0,0.0,3
0.0,0.0,3
65.78,1.0,2
10.12,1.0,3
24.288,2.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
6.072,1.0,3
32.384,1.0,0
0.0,0.0,3
10.12,1.0,3
31.372,20.0,1
6.072,1.0,3
9.108,1.0,3
0.0,0.0,3
9.108,1.0,3
29.348,2.0,0
15.18,2.0,0
0.0,0.0,3
30.36,1.0,0
46.552,1.0,2
0.0,0.0,3
0.0,0.0,3
31.372,6.0,0
32.384,1.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
21.252,5.0,0
32.384,1.0,0
19.228,6.0,0
0.0,0.0,3
0.0,0.0,3
35.42,3.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
31.372,4.0,0
0.0,0.0,3
0.0,0.0,3
11.132,3.0,3
8.096,1.0,3
33.396,1.0,0
6.072,1.0,3
41.492,1.0,2
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
23.276,5.0,0
20.24,3.0,0
9.108,10.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
17.204,1.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
11.132,1.0,3
0.0,0.0,3
13.156,38.0,1
10.12,8.0,0
31.372,1.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
63.756,4.0,2
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
16.192,7.0,0
0.0,0.0,3
29.348,1.0,0
7.084,4.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
32.384,5.0,0
72.864,1.0,2
34.408,1.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
12.144,4.0,0
34.408,2.0,0
31.372,10.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
46.552,7.0,2
0.0,0.0,3
9.108,1.0,3
0.0,0.0,3
15.18,23.0,1
0.0,0.0,3
0.0,0.0,3
29.348,4.0,0
0.0,0.0,3
16.192,5.0,0
17.204,2.0,0
0.0,0.0,3
